yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201101,1.5142857142857142,-5.6,13.3,4.3,66.0,15.171428571428573,2,Boston
201102,-2.357142857142857,-7.8,1.7,43.0,157.0,23.142857142857142,3,Boston
201103,-2.5,-10.0,4.4,47.400000000000006,265.0,16.928571428571427,3,Boston
201104,-6.071428571428571,-18.9,1.7,21.400000000000002,379.0,15.471428571428572,3,Boston
201105,-3.642857142857143,-8.9,2.8,33.2,470.0,14.771428571428572,2,Boston
201106,-1.3714285714285717,-10.6,5.6,14.3,439.0,18.014285714285712,3,Boston
201107,2.2285714285714286,-7.2,15.6,1.3,363.0,20.32857142857143,1,Boston
201108,-1.2714285714285711,-10.6,9.4,43.4,235.0,21.942857142857143,2,Boston
201109,-0.742857142857143,-11.1,8.9,24.4,206.0,18.17142857142857,3,Boston
201110,5.2,-3.9,16.1,25.9,28.0,22.8,4,Boston
201111,6.6000000000000005,-1.7,21.1,13.7,0.0,17.54285714285714,1,Boston
201112,2.8428571428571425,-1.1,8.9,4.3999999999999995,5.0,16.7,2,Boston
201113,2.9857142857142853,-3.3,12.8,20.3,13.0,21.642857142857142,2,Boston
201114,7.1571428571428575,1.1,17.8,11.5,5.0,19.542857142857144,2,Boston
201115,10.114285714285714,1.7,22.2,37.599999999999994,0.0,18.714285714285715,5,Boston
201116,8.6,2.2,17.2,30.0,0.0,21.7,3,Boston
201117,13.928571428571429,3.9,25.6,12.1,0.0,16.4,4,Boston
201118,13.328571428571427,6.7,22.2,9.700000000000001,0.0,17.900000000000002,2,Boston
201119,12.814285714285715,7.8,21.1,9.4,0.0,19.385714285714283,2,Boston
201120,11.042857142857143,7.2,18.3,56.1,0.0,15.671428571428569,7,Boston
201121,17.2,8.9,30.6,7.1,0.0,15.485714285714286,2,Boston
201122,20.785714285714285,12.8,30.6,14.2,0.0,18.771428571428572,1,Boston
201123,19.25714285714286,9.4,33.3,13.0,0.0,13.12857142857143,1,Boston
201124,17.085714285714285,11.7,31.7,29.7,0.0,16.257142857142856,5,Boston
201125,19.942857142857143,13.3,28.3,52.6,0.0,15.257142857142856,4,Boston
201126,21.37142857142857,12.2,29.4,11.5,0.0,13.771428571428572,2,Boston
201127,24.442857142857143,18.9,33.3,8.200000000000001,0.0,12.814285714285715,2,Boston
201128,24.74285714285714,17.2,35.0,32.7,0.0,16.228571428571428,3,Boston
201129,27.642857142857142,18.3,39.4,0.0,0.0,18.52857142857143,0,Boston
201130,23.428571428571427,17.2,33.3,11.0,0.0,12.928571428571429,5,Boston
201131,24.24285714285714,18.3,33.9,15.2,0.0,14.1,1,Boston
201132,23.057142857142857,17.8,31.1,83.5,0.0,13.942857142857141,4,Boston
201133,22.642857142857142,16.7,31.1,37.9,0.0,14.285714285714286,4,Boston
201134,23.857142857142858,17.2,30.6,17.3,0.0,17.8,3,Boston
201135,20.657142857142855,15.6,27.2,42.7,0.0,15.857142857142858,2,Boston
201136,20.24285714285714,14.4,30.6,54.6,0.0,16.4,3,Boston
201137,20.214285714285715,10.0,30.0,2.8,0.0,15.5,2,Boston
